01 1718 95 19.1231 13940426 27477595
10 3636 108 117.439 17917477 35561724
100 963 21 5.82741 4386331 8777305
11 627 44 4.31075 3527424 6877913
12 29 4 0.918774 32825 65985
13 212 12 1.69485 806418 1616608
14 3250 104 36.1672 26090060 51172268
15 3223 28 35.1541 25832898 49607022
16 336 14 1.70364 934571 1911591
17 3602 35 219.663 89749991 171619166
18 388 7 2.1393 1306173 2545295
19 61 16 1.079 157113 316900
02 995 23 5.34065 4394522 8700953
20 637 28 2.93736 2049137 4113935
21 1014 144 7.06675 5737744 11277425
22 2379 372 15.6332 13440777 26664969
23 163 12 2.22297 698325 1393847
24 1053 23 5.75047 4692266 9332306
25 1010 24 7.26938 6148652 12170145
26 2960 499 27.3628 20273709 39501505
27 2462 33 13.4278 11315854 22761143
28 136 24 1.81902 455004 878818
29 942 23 4.84407 3951493 7773481
03 2766 83 59.7401 30046231 59383490
30 89 5 1.0869 213825 425035
31 57 6 1.08469 194138 377772
32 1118 45 25.6142 17048335 33304362
33 3828 43 20.9831 18529538 35962894
34 547 20 3.01818 2064682 4124571
35 1166 204 5.32 4645648 9051975
36 579 25 3.1041 2319694 4570979
37 4446 74 24.3703 21007077 41270416
38 212 25 1.67925 837707 1615821
39 372 7 2.00106 1121326 2241975
04 1102 32 6.09363 5269649 10371182
40 1078 33 7.37168 6541901 12934483
41 1137 35 6.88182 5642269 11332101
42 32 5 0.927979 49264 97791
43 983 184 8.25013 7434315 14077411
44 522 27 3.67482 2754021 5505528
45 228 6 1.47479 545390 1067967
46 175 4 2.34442 717525 1443186
47 58 7 1.05029 181554 362132
48 153 6 0.998945 121575 244507
49 6893 114 136.217 73087268 143324797
05 569 28 2.88898 2030020 3959002
50 912 10 5.63549 4305897 8689967
51 648 118 3.78638 3051969 5984914
52 2222 35 14.5175 11616737 23084687
53 54 1961 22 8.70708 7284521 14438749
55 86 6 1.03504 153099 309244
56 3502 195 541.836 46876383 92907132
57 218 7 1.37003 485500 960477
58 230 10 1.36046 486973 972144
59 3685 35 103.267 49897132 99196768
06 223 17 7.45941 977314 1952851
60 12975 531 325.076 171333064 333969988
61 206 38 1.37605 514428 1038551
62 527 46 2.68628 1838592 3620038
63 4043 84 26.8918 21912373 44315172
64 1127 92 6.77495 5681226 11392998
65 321 11 1.83389 923131 1848209
66 6041 32 139.875 71643522 139509015
67 2691 42 9.96114 8487536 17084102
68 1118 76 6.73471 5478776 10950428
69 1105 23 5.61141 2278294 4512540
07 1934 112 8.5059 7052540 14087006
70 2352 83 10.0603 8217432 16429847
71 200 6 1.45636 539311 1087242
72 6746 669 41.9834 34404999 67995955
73 58 5 1.12264 193407 387528
74 832 30 1.98241 1208963 2394831
75 1066 25 4.48901 3443300 7010574
76 77 646 29 3.05136 2184079 4266424
78 201 6 1.55551 621221 1212821
79 34 7 1.00712 65988 134494
08 644 13 3.49922 2596972 5216697
80 1061 104 4.80422 3940666 7715813
81 579 7 1.6313 745199 1455879
82 19272 7680 797.628 190066882 376206845
83 665 9 2.79204 1902006 3843334
84 2842 36 12.8738 10972320 21562298
85 57 6 1.10332 154093 312063
86 53 6 1.14507 195699 396097
87 1126 28 5.64874 4664756 9286547
88 
89 834 15 4.61232 3597442 7139767
09 99 7 1.27235 305835 622002
90 246 16 1.725 830479 1628823
91 4394 52 20.6063 18278363 35699123
92 5911 53 65.7603 45205191 89325865
93 170 13 1.35366 423598 854439
94 209 6 1.24148 289912 574883
95 221 22 1.6882 756539 1502395
96 427 11 2.19886 1269025 2546716
97 55 11 1.13739 187652 377840
98 2232 28 12.2355 4765130 9583676
99 987 39 6.31365 5394657 10451360
