01 
10 1123 57 3.85598 3536651 7218524 51
100 1028 45 6.07668 5394187 10913366 55
11 190 7 1.09856 367743 750459 47
12 4444 196 23.3027 20283818 40704676 60
13 1080 137 3.58177 3688002 7243546 58
14 37 3 0.980725 38856 78541 46
15 446 14 1.52702 920990 1867116 47
16 3502 111 39.3801 29170135 57679828 60
17 3508 135 37.6011 29602843 57706775 63
18 545 23 1.97 1265758 2647842 43
19 4047 48 276.085 102609935 197967446 67
02 
20 599 154 2.19325 1771296 3489760 56
21 99 8 1.01305 169498 345091 47
22 768 115 2.54654 2277522 4609860 53
23 1087 113 6.16449 5941939 11773056 55
24 4238 61 14.7595 14958706 29995501 60
25 722 26 2.03112 1633145 3309006 50
26 1440 24 5.07151 5221667 10448411 55
27 1861 87 7.17133 7320069 14752724 53
28 3322 54 30.1595 23755348 47074464 59
29 4509 81 12.7851 12735046 25882068 54
03 1998 71 22.3399 16550106 33090676 58
30 435 15 1.65913 1048506 2062666 53
31 1247 26 4.79689 4727121 9591064 55
32 157 10 1.06766 237001 475312 48
33 105 4 0.953472 219194 429620 51
34 
35 5774 155 20.217 20163534 39544819 61
36 37 1532 37 4.93669 5240958 10340318 56
38 685 20 3.06513 2662346 5341497 53
39 5129 230 22.9698 23628370 47087300 59
04 1204 148 4.48027 4574891 9159248 56
40 352 9 1.39711 879371 1706309 54
41 453 8 1.84486 1293045 2627613 50
42 2570 153 6.53303 7263665 14513256 55
43 1328 145 6.12051 6223096 12594208 55
44 45 3 0.932615 54204 108502 43
45 2403 83 9.22427 9587856 18790347 65
46 1006 28 3.57529 3212942 6497486 51
47 261 17 1.23985 613320 1217132 52
48 670 140 2.06746 1701841 3481601 50
49 381 8 1.05052 201438 406763 48
05 2975 330 84.4251 37998978 75942137 60
50 77 8 0.99564 143151 288923 50
51 6813 162 177.936 88226648 176223226 60
52 1167 184 5.05596 4533826 9229965 54
53 1002 36 3.70607 3484363 6942837 57
54 3081 61 16.0134 14141092 28738595 57
55 6693 166 52.1168 42080133 82493853 65
56 2592 55 8.22524 7986807 15969347 57
57 97 4 0.947775 157281 319790 42
58 4025 52 106.043 51626931 103589954 56
59 277 4 1.18577 532387 1059904 51
06 1401 24 5.89773 6099463 12203242 57
60 203 9 1.20644 560406 1126113 52
61 4032 31 125.398 57087518 114987129 58
62 
63 286 30 1.40672 569695 1161076 46
64 
65 5318 145 26.9202 24895274 51085524 57
66 2254 245 5.9193 6219320 12563027 52
67 413 32 1.67089 1049116 2130552 48
68 7838 173 155.787 78179520 153828341 62
69 3497 43 9.36806 9451928 19168524 51
07 695 53 2.68163 2289749 4504220 57
70 3064 137 6.37644 6488675 13214907 52
71 1369 36 4.83585 4915965 9838881 54
72 3073 115 9.11885 9033105 18247255 53
73 270 7 1.25694 618822 1261919 45
74 
75 71 3 1.03665 201190 407454 50
76 724 11 2.04096 1511976 3065806 57
77 1328 19 4.21044 4053040 8341669 49
78 2606 30 9.08412 8957475 18174377 58
79 850 17 2.6504 2433921 4810469 55
08 451 44 1.59637 1022146 2057659 53
80 260 23 1.26652 654205 1286457 54
81 53 10 0.83125 72327 148314 43
82 1117 33 4.18406 4188274 8328988 58
83 314 116 1.46369 831818 1637455 54
84 764 16 2.40816 2029071 4138510 50
85 3405 130 12.0595 12394263 24645790 56
86 132 38 1.0267 181310 370857 45
87 100 5 0.937893 210983 430310 46
88 1888 33 5.44978 5396646 10920759 53
89 879 26 4.19932 3902199 7811892 55
09 2239 116 8.45118 8518864 17300609 53
90 353 33 1.68589 920535 1836716 51
91 5641 56 19.6491 19979342 39502951 58
92 6290 131 71.2933 50683925 101437838 58
93 243 37 1.382 540812 1099538 47
94 104 38 1.15992 256953 518283 54
95 284 50 1.50616 886730 1780691 51
96 478 42 1.92538 1438629 2919685 50
97 97 3 0.981561 202729 411911 45
98 2866 49 13.6535 12087295 24657366 55
99 1262 155 6.46454 6291572 12446043 58
