-nan -nan -nan -nan
inf inf inf 0.823713
inf inf inf 0.865171
inf inf inf 0.829096
inf inf inf 0.86527
inf inf inf 0.850908
inf inf inf 0.907697
inf inf inf 0.913903
inf inf inf 0.910272
inf inf inf 0.803247
inf inf inf 0.738237
inf inf inf 0.932948
inf inf inf 0.77256
inf inf inf 0.776501
inf inf inf 0.863726
inf inf inf 0.875802
inf inf inf 0.861911
inf inf inf 0.925795
inf inf inf 0.853609
inf inf inf 0.92417
inf inf inf 0.917353
inf inf inf 1.00594
inf inf inf 0.926497
inf inf inf 0.864203
inf inf inf 0.886268
inf inf inf 0.849393
inf inf inf inf
inf inf inf 0.830227
inf inf inf 0.851242
inf inf inf 0.855364
inf inf inf 0.950187
inf inf inf 0.952767
inf inf inf 0.912659
inf inf inf 0.948352
inf inf inf 0.826504
inf inf inf 0.735544
inf inf inf 0.801489
inf inf inf 0.881732
inf inf inf 0.889877
inf inf inf 0.902358
inf inf inf 0.89137
inf inf inf 0.803338
inf inf inf inf
inf inf inf 0.853017
inf inf inf 0.86447
inf inf inf 0.833112
inf inf inf inf
inf inf inf 0.804369
inf inf inf 0.853667
inf inf inf 0.853469
inf inf inf 0.765695
inf inf inf 0.847918
inf inf inf 0.833944
inf inf inf 0.887022
inf inf inf 0.926317
inf inf inf 0.871356
inf inf inf 0.870509
inf inf inf 0.904124
inf inf inf 0.893448
inf inf inf 0.891192
inf inf inf 0.982323
inf inf inf 0.818078
inf inf inf 0.82107
inf inf inf 0.823432
inf inf inf 0.812972
inf inf inf 0.842926
inf inf inf 0.942413
inf inf inf 0.822277
inf inf inf 1.05457
inf inf inf 0.926362
inf inf inf 0.840297
inf inf inf 0.832829
inf inf inf 0.822782
inf inf inf 0.943024
inf inf inf 0.837696
inf inf inf 0.887747
inf inf inf 0.933019
inf inf inf 0.828718
inf inf inf 0.864356
inf inf inf 0.850441
inf inf inf 0.964779
inf inf inf 0.94788
inf inf inf 0.930211
inf inf inf 0.831386
inf inf inf 0.923356
inf inf inf 0.833894
inf inf inf 0.945022
inf inf inf inf
-nan -nan -nan 0
inf inf inf 0.983417
inf inf inf inf
inf inf inf 0.927823
inf inf inf 1.04656
inf inf inf inf
inf inf inf 1.49328
inf inf inf 0.874809
inf inf inf 1.03966
inf inf inf 1.90967
inf inf inf 1.52292
inf inf inf inf
inf inf inf 2.30311
inf inf inf 0.869986
inf inf inf 1.74112
inf inf inf 1.12456
