10 149844677 152058541
11 86317016 86819350
12 149525715 150597777
13 92628327 93528815
14 132194698 134659117
15 45303094 45375812
16 73842613 73849644
17 79603810 80816596
18 42008969 42840923
19 65020393 65577913
20 73031804 75311044
21 52783957 52927534
22 59604857 60453578
23 19724530 44253253
24 35812530 35822352
25 14985437 15297625
26 44091454 43974694
27 34986395 34875909
28 39951666 40398549
29 34188347 34551329
30 13718346 14338983
31 39016014 40920977
32 27027666 26910459
33 6766330 6776642
34 23413674 23264217
35 22244277 21902726
36 26893791 27768139
37 23166517 23440250
38 17983562 17236882
40 23172119 24447324
41 17581789 17007559
42 17826658 17628925
43 21997724 22457909
44 12320224 12651316
45 21992395 22526509
46 15785620 16337851
47 15449553 15086256
48 13730352 13540296
49 17609700 17082795
50 16747507 16817119
51 9872580 9936603
52 12281807 12669760
53 12823080 13010095
54 12921587 13427008
55 10620494 11298846
56 8636814 8562625
57 3858701 3859067
58 6061162 6009551
59 8155855 8579115
60 1748074 1808773
61 707125 612432
62 6798499 6862457
63 7491862 7854588
64 5690175 5764737
65 6327599 6469435
66 4992438 4941659
67 4247219 4301925
68 4808537 4752869
69 3526019 3710851
71 3988421 3860312
72 3736187 3899753
73 3018897 3178835
74 3029521 3030751
76 2655429 2794406
77 2947642 3285069
78 2554500 2562552
79 3577276 3282054
80 2761278 2854019
81 2253523 2209813
82 2331764 2356464
83 2333025 2671988
84 1673962 1590269
85 1788300 1893889
86 1197070 852226
87 1258206 1195505
88 792080 771512
89 1056909 972501
90 744696 717774
91 496489 507710
92 490450 508639
93 714898 593356
94 718535 628643
95 528700 527133
96 501051 534951
98 318488 304669
99 274961 192470
100 112935 150116
