01 
10 71.6911 74037854 151747472 56
100 0.663448 95469 199139 46
11 29.7202 42363659 86977626 60
12 43.1096 73202153 150104034 58
13 25.0141 45436221 92532495 60
14 35.7341 65523632 134688434 57
15 16.7259 22416249 45171372 60
16 21.9648 36306782 74115569 59
17 20.8734 38966085 81712917 57
18 11.1181 20444370 41969692 58
19
02 
20 18.3063 36997205 75881279 59
21 14.4878 26002520 52212751 61
22 13.9874 29462553 59741787 58
23 5.02891 10000416 20695668 57
24 9.26069 17959436 37226634 57
25 4.1068 7442699 15497426 54
26 10.4074 21391328 43878196 60
27 9.05618 17003627 35247078 55
28 9.55885 19185654 39832208 54
29 8.29273 17235510 35222916 56
03 89.346 115058404 235219297 62
30 3.54953 6913058 14127157 58
31 10.0672 20007409 42230916 51
32 7.68716 13063657 26896768 53
33 1.88971 3251610 6708486 51
34 5.83244 11608257 23683024 57
35 5.28811 10816410 22122495 58
36 6.86257 13659635 28376572 53
37 5.86814 11813117 23615204 65
38 4.52677 8781195 18068508 55
39 5.70901 11169746 23054760 53
04 
40 5.84281 11770208 24144235 55
41 
42 4.90523 8500328 17651385 55
43 5.74568 11296660 23444413 52
44 3.4351 6152970 12629824 55
45 5.22712 10528771 21733348 52
46 4.08429 7762843 16076133 53
47 4.0858 7315167 15106126 55
48 
49 
05 1153.31 133649774 265793291 67
50 
51 2.63696 4822045 9928375 56
52 3.37777 6112404 12543684 55
53 3.28667 6298169 12715904 58
54 3.46786 6460279 13552823 49
55 2.94153 5396521 10902593 57
56 2.39449 4132407 8532752 51
57 1.45024 1846541 3812612 48
58 1.9369 3029525 6251924 53
59 2.42403 4157943 8511782 53
06 287.62 57942618 116988881 65
60 0.961367 839609 1691819 52
61 0.748044 284415 586226 48
62 2.06092 3464426 7012861 55
63 
64 1.84066 2815111 5766903 53
65 
66 1.66641 2487591 5071351 58
67 1.51159 2058310 4229554 50
68 1.57923 2328965 4772302 50
69 1.25829 1729647 3562856 57
07 665.117 111971341 225395028 60
70 1.41735 1945251 3995387 50
71 1.33241 1971819 3958363 56
72 1.3682 1886507 3905435 50
73 1.24828 1502778 3194109 43
74 1.28298 1505223 3106420 53
75 1.27626 1628074 3305522 53
76 1.1883 1351553 2756366 51
77 1.32794 1598616 3260143 54
78 1.16239 1294742 2587890 54
79 1.36304 1709213 3580388 47
08 
80 1.15255 1310979 2758890 51
81 1.00399 1003177 2052823 54
82 1.08882 1134811 2424399 52
83 1.13492 1230261 2612231 45
84 0.93104 773385 1609196 46
85 1.03553 926579 1962286 51
86 0.796477 574420 1195363 47
87 0.859798 538357 1138642 47
88 0.751545 411225 841466 48
89 0.801043 492310 1027570 54
09 64.6017 82997001 170902788 58
90 0.709985 333047 695147 45
91 0.739287 242024 500715 50
92 0.741071 228605 486517 45
93 0.624281 298092 623124 46
94 0.769045 305814 618535 51
95 0.698203 300971 626185 47
96 0.731195 227478 477943 42
97 0.718727 207318 427566 50
98 0.697671 149787 311756 43
99 0.676797 109020 224523 43
