46798812 2618503 3032628 2629363 2418170
32334 4484857 4912615 4560483 2307361
45112197 17805045 18944394 19190123 18318127
26088053 3525006 3852079 3368188 2896623
17025056 831333 1015080 556715 962770
20161235 26088053 28270518 29821425 27285813
21862510 25792756 32837538 24808774 14519304
14028344 909219 934163 476113 975213
17805045 89166546 88917119 58549856 70446840
20889986 1267588 1227430 866573 817158
18535767 154092 187070 177120 132542
18150875 1995813 2306843 1146281 1405621
5253685 5668025 6836389 5040202 2967276
11641228 13338796 15415756 14057230 16626402
4399444 1398857 1643958 1217068 1323454
13338796 4691710 5168808 4646571 3276618
9499694 6227205 6813861 5888583 5382159
11278428 20161235 22148571 20020175 16071959
10972804 11278428 14041052 7521017 15669698
71601915 14028344 19002481 12690625 13670818
3525006 909442 974805 705902 711329
8430894 3917549 5070864 4226076 2290663
8179227 215990 278158 179980 198763
2618503 192534 222911 220488 258948
7221615 17025056 19439400 16446118 13723426
7622602 18535767 21505433 24295926 25391783
7170013 2063117 2228482 2110328 1980999
7332466 4626661 5420115 3902336 3451061
5668025 2309697 2499212 1486165 1936832
6227205 20889986 22772020 12864311 11923518
171198584 4415279 4389210 5214699 3084387
6540243 827864 893542 781223 981263
5342754 1118025 1293706 686592 643098
5727374 6540243 7379531 6334031 6082111
5471060 5727374 6742904 3893695 4440511
5622335 7332466 8831886 4730008 9463843
4681483 2731989 3209415 3830394 2933814
4691710 539196 630370 325843 696618
3917549 1430455 1505445 985698 1191283
4579005 179689 188597 117400 194512
4626661 119535 126045 130407 172691
4415279 73083875 88425293 83043881 67777889
3951356 3031922 3782861 3111865 1623174
3440513 11641228 13202683 14051779 6237671
3031922 38607523 43385233 45658084 29476813
2731989 7221615 8003052 7998638 6405630
920623 152123 170662 123850 83421
2063117 46798812 58255425 54409987 45965504
38607523 5253685 6158948 3711266 6030636
539196 506538 585952 451073 494748
179689 49797791 59773228 51469506 42408958
2021382 508957 632741 548152 466827
1995813 1828847 2142342 1886116 1759616
1900358 21862510 25616071 20367223 19461712
1828847 5622335 7342788 3577955 4834526
1430455 920623 1085745 577532 909086
1398857 71601915 85859404 44719816 54874450
1373939 8430894 9504719 8453237 8340788
73083875 2021382 2182171 1792405 1671460
1263033 5471060 6278785 5149684 4688976
1267588 4579005 5260144 5356155 4588289
1118025 8179227 9046580 5036981 10778015
909219 557862 624392 575649 495066
969356 34437004 38641528 37773861 32288488
820923 1373939 1679472 1198368 1274955
744209 3440513 4190282 2106090 3618221
827864 7622602 9257111 8033084 5628456
831333 2184110 2686576 1992851 1904443
25792756 969356 1149990 1037209 590574
751475 619299 657142 677449 572428
619299 68633 83467 67559 55101
506538 3951356 3746884 4574767 5100008
557862 744209 803367 649538 870651
508957 1900358 2261532 1914189 1925407
484048 10972804 13175340 11902172 11327268
438960 158355 192463 101107 150319
313211 195222 207017 130854 187573
276325 3559259 4009317 3228558 3834003
49797791 7170013 7684744 4919767 9150134
191601 820923 990594 591949 1336020
188717 18150875 20999302 17712847 18021809
158355 45112197 53045673 46017678 33160805
195222 438960 454985 560982 240711
192534 276325 291519 205356 190625
154092 751475 807854 800120 811093
152123 1263033 1519189 1254680 1075636
119535 191601 207505 173637 154906
68633 9499694 11391974 9584096 6555369
48447 5342754 5653577 5441603 5187725
