01 
10 7779.628429 96572.045900 18073 2.82523 2348297 4961892 51
100 17992.542057 34932.547254 100022 4.11699 3669206 7484340 55
11 
12 65325.077428 830380.085628 246979 17.6916 10958492 23324497 60
13 40478.031025 199282.035125 96092 3.59644 3413830 6645917 58
14 805.878519 3322.543105 2066 0.725476 22686 46862 46
15 12116.534434 14492.354407 1486 1.41647 799097 1596493 47
16 283326.954481 574518.337079 163969 26.4511 23374681 46834721 60
17 245941.318203 687010.707640 927318 177.292 22786459 45180221 63
18 11664.869073 21371.412838 7628 1.36373 743067 2014007 43
19 1335197.193496 5293803.344055 1565364 142.127 72861507 139820888 67
02 
20 13335.424675 46105.968098 8934 1.61697 729852 1528670 56
21 1734.186607 5625.769964 1720 0.831376 91919 185716 47
22 10271.642234 36505.867791 28786 2.17278 1113833 3468285 53
23 98303.452800 274546.505708 151661 5.74984 5346482 10621776 55
24 25556.928028 284512.200284 30297 11.3041 7740663 23637844 60
25 15684.601483 38196.341699 24336 1.8123 886673 2582574 50
26 116244.622143 157062.521922 169496 4.60034 2896939 5814898 55
27 127668.443530 378361.147783 235215 6.38583 3781115 7646027 53
28 148400.089792 942472.590276 87470 22.985 18888332 39688182 59
29 115852.572752 632162.616805 321264 11.2706 10991572 22197276 54
03 141178.996519 310640.517096 98720 15.5144 8971283 17156709 58
30 13570.917386 47052.423967 27697 1.48408 884213 1774984 53
31 19015.680201 208390.024321 68801 4.20436 2537620 8077951 55
32 3428.788224 5512.844592 4165 0.860245 257589 519408 48
33 3654.776156 10529.625896 275 0.812904 125086 259921 51
34 257056.245103 841466.106040 887066 25.2274 9996760 18751430 60
35 110999.054217 374401.705636 20836 16.4918 22575540 44653565 61
36 20591.061002 26408.996690 12146 2.32042 1808896 3689448 53
37 14902.728901 93369.660127 43300 4.21594 2741026 8297021 56
38 30466.893483 128891.927789 77479 2.70809 1430819 2812324 53
39 208748.299118 996157.835661 354303 19.8208 19776579 52495891 59
04 16904.873120 107943.554222 11681 3.09674 2867287 5620973 56
40 12059.254566 28862.603152 15189 1.39484 755767 1513909 54
41 10175.708461 35305.026989 12677 1.56406 674816 1438325 50
42 88150.502779 104069.390626 104462 6.1618 6088265 12132894 55
43 70917.371657 220287.026852 108535 5.50732 5208231 10909787 55
44 724.584148 2886.518924 1919 0.753797 46696 99529 43
45 71427.120061 270329.255299 42297 6.57741 6565505 12071913 65
46 46188.908393 143875.203990 82919 3.10888 3429392 7006947 51
47 2552.386187 11045.969865 1541 0.999979 461714 1221226 52
