01 0.610222 12648340 24492851
02 6.85189 140036828 276361932
03 0.386788 7855093 15300441
04 13.8715 284774139 565994202
05 1.56755 31801392 62643178
06 0.269992 5679874 11020324
07 0.807278 15925226 32201659
08 9.57207 193237081 387138093
09 0.976847 19393936 39118936
10 0.0406551 810906 1650695
11 4.93169 99185529 198758702
12 3.78514 76858577 150346071
13 0.013768 269708 546343
14 0.295655 5940101 11861704
15 33.973 697060338 1369596777
16 13.6593 284143709 543598066
17 0.441246 8674989 17984050
18 14.9346 325709977 607399559
19 0.602331 12208396 23711066
20 0.042012 630900 1280494
21 0.446501 8917079 17954869
22 6.45219 130984183 257064809
23 18.8748 374563071 750745754
24 0.408155 8021592 15971318
25 1.05394 21373350 42693208
26 2.5558 51116860 100734843
27 5.60457 117276312 226668644
28 7.5575 150045862 306123420
29 0.150126 3074175 5934441
30 2.96709 59289712 117076110
31 0.055382 1102713 2196592
32 0.0768409 1200815 2351810
33 16.1179 338905602 661041935
34 11.9474 248230794 480637866
35 0.509714 10316663 20671551
36 1.17801 24383762 47506055
37 1.50638 30328909 59802601
38 6.92845 142413454 280078790
39 0.479872 9620772 19355805
40 1.60767 31784360 63276187
41 1.27399 25392109 51501543
42 0.02196 440711 877822
43 1.02646 21922115 41124766
44 2.39685 47157847 95733124
45 0.156198 3142992 6158732
46 0.55697 10966754 22119319
47 0.0354609 700936 1411293
48 0.0471811 941392 1905022
49 45.2555 924525500 1809933697
50 1.57904 31134487 63036421
51 0.668122 13540271 26622862
52 9.38156 187386023 377141880
53 11.7149 238335426 465225697
54 5.48028 110299077 220374384
55 0.0228601 456931 927211
56 32.8602 604195859 1199487995
57 0.218546 4448777 8841526
58 0.323112 6409343 12955403
59 29.8765 603096642 1207520463
60 82.9133 1707496297 3337690330
61 0.172427 3490584 7096849
62 0.583751 11931022 23540412
63 24.9233 480960627 995472711
64 6.38685 128674681 260054151
65 0.467497 9386275 18997680
66 48.9155 1002332934 1957191377
67 6.24054 124641603 252783877
68 1.86603 32102319 64367798
69 2.76536 54839059 109562358
70 3.78946 74952369 151042570
71 0.246831 4378098 8885971
72 25.7022 517762902 1031641139
73 0.0845799 1602329 3222275
74 0.0477338 962130 1897727
75 1.04436 20744090 42772588
76 3.40561 62619586 126638416
77 0.57558 9699545 18918268
78 0.311692 5574437 10907149
79 0.0131412 262910 540859
80 3.34171 67417331 132945855
81 0.283066 5079292 9982568
82 136.272 2795752027 5506801122
83 1.76046 31962611 65533431
84 2.65787 53909237 106074302
85 0.0850439 1338135 2725455
86 0.057168 1127558 2304425
87 1.71511 32313756 64926493
88 157.869 3239494862 6320047979
89 4.14429 83006840 166571020
90 0.196965 3649912 7171136
91 15.0466 306699931 602886857
92 27.2155 557396187 1101072540
93 0.0396712 792051 1599908
94 0.033088 672665 1337339
95 0.195583 3578954 7115966
96 0.335805 6297113 12808563
97 0.025435 495186 1002926
98 4.53955 90593519 183526882
99 2.07817 43530124 83477693
100 1.67963 33861969 67880055
